dialogue_act_gloss,count,percentage
Fragment,3880,66.70104865050713
Assess,488,8.389204057074092
Inform,477,8.200103145951521
Be-Positive,242,4.160220044696579
Suggest,199,3.421007392126526
Backchannel,183,3.145951521402785
Elicit-Inform,99,1.701908200103146
Elicit-Assessment,58,0.9970775313735603
Other,58,0.9970775313735603
Comment-About-Understanding,47,0.8079766202509884
Stall,32,0.5501117414474815
Offer,24,0.4125838060856112
Elicit-Offer-Or-Suggestion,19,0.3266288464844422
Be-Negative,7,0.12033694344163659
Elicit-Comment-Understanding,2,0.034381983840467596
