segment_id,meeting_id,speaker_id,dact_id,word,start_time,end_time,dialogue_act_type,dialogue_act_gloss,dialogue_act_category,event_type,pair_id,pair_type,pair_type_gloss,target_speaker_id,target_dact_id,audio,video,lip_video
IS1000c-D-175.51-175.90-laughter,IS1000c,D,IS1000c.D.dialog-act.vkaraisk.11,<laugh>,175.51,175.904,ass,Assess,Task,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/IS1000c-D-175.51-175.90-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/IS1000c-D-175.51-175.90-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/lip_segments/IS1000c-D-175.51-175.90-laughter_lip.mp4
IS1000c-D-197.31-197.98-laughter,IS1000c,D,IS1000c.D.dialog-act.vkaraisk.12,<laugh>,197.312,197.984,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/IS1000c-D-197.31-197.98-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/IS1000c-D-197.31-197.98-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/IS1000c-D-197.31-197.98-laughter_lip.mp4
IS1000c-D-932.71-933.57-laughter,IS1000c,D,IS1000c.D.dialog-act.vkaraisk.47,<laugh>,932.712,933.574,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/IS1000c-D-932.71-933.57-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/IS1000c-D-932.71-933.57-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/lip_segments/IS1000c-D-932.71-933.57-laughter_lip.mp4
TS3008a-D-223.13-224.38-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.26,<laugh>,223.135,224.384,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-223.13-224.38-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-223.13-224.38-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/TS3008a-D-223.13-224.38-laughter_lip.mp4
TS3008a-D-387.26-387.82-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.30,<laugh>,387.263,387.82,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/audio_segments/TS3008a-D-387.26-387.82-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/video_segments/TS3008a-D-387.26-387.82-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/lip_segments/TS3008a-D-387.26-387.82-laughter_lip.mp4
TS3008a-D-463.12-464.55-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.31,<laugh>,463.12,464.547,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/TS3008a-D-463.12-464.55-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/TS3008a-D-463.12-464.55-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/lip_segments/TS3008a-D-463.12-464.55-laughter_lip.mp4
TS3008a-D-483.44-483.87-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.32,<laugh>,483.442,483.866,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-483.44-483.87-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-483.44-483.87-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/TS3008a-D-483.44-483.87-laughter_lip.mp4
TS3008a-D-491.34-492.30-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.33,<laugh>,491.338,492.303,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/TS3008a-D-491.34-492.30-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/TS3008a-D-491.34-492.30-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/lip_segments/TS3008a-D-491.34-492.30-laughter_lip.mp4
TS3008a-D-513.25-514.33-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.34,<laugh>,513.247,514.328,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/TS3008a-D-513.25-514.33-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/TS3008a-D-513.25-514.33-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/lip_segments/TS3008a-D-513.25-514.33-laughter_lip.mp4
TS3008a-D-562.00-562.78-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.35,<laugh>,562.003,562.776,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-562.00-562.78-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-562.00-562.78-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/TS3008a-D-562.00-562.78-laughter_lip.mp4
