dialogue_act_gloss,count,percentage
Fragment,4949,64.65055519268452
Assess,708,9.248856956237752
Inform,652,8.517308948399739
Be-Positive,346,4.519921619856302
Suggest,271,3.5401698236446766
Backchannel,230,3.0045721750489878
Elicit-Inform,131,1.711299804049641
Other,93,1.2148922273024167
Elicit-Assessment,87,1.1365120836054865
Comment-About-Understanding,69,0.9013716525146962
Stall,48,0.6270411495754409
Offer,35,0.45721750489875895
Elicit-Offer-Or-Suggestion,23,0.30045721750489873
Be-Negative,9,0.11757021554539517
Elicit-Comment-Understanding,2,0.02612671456564337
