meeting_id,count,percentage
IS1006d,336,2.7027027027027026
TS3006d,326,2.6222651222651225
IS1003d,294,2.364864864864865
TS3005d,272,2.187902187902188
TS3007c,266,2.1396396396396398
TS3007d,257,2.0672458172458175
TS3009c,241,1.9385456885456884
TS3009d,233,1.8741956241956241
TS3008c,216,1.7374517374517375
ES2009d,195,1.5685328185328185
ES2015d,185,1.488095238095238
IS1007d,181,1.4559202059202059
IS1006c,178,1.4317889317889319
IS1006a,174,1.3996138996138996
ES2011d,172,1.3835263835263836
ES2006d,170,1.3674388674388673
TS3011d,165,1.327220077220077
ES2008d,158,1.270913770913771
IS1006b,156,1.2548262548262548
TS3005b,154,1.2387387387387387
TS3009a,153,1.2306949806949807
TS3008a,144,1.1583011583011582
TS3007a,140,1.1261261261261262
ES2011c,138,1.1100386100386102
TS3006b,138,1.1100386100386102
ES2016d,136,1.093951093951094
IS1004d,135,1.085907335907336
ES2015a,133,1.0698198198198199
TS3006a,133,1.0698198198198199
TS3006c,129,1.0376447876447876
TS3009b,126,1.0135135135135136
ES2005c,126,1.0135135135135136
TS3010c,121,0.9732947232947233
TS3005c,120,0.9652509652509652
ES2014d,117,0.9411196911196912
TS3008d,115,0.9250321750321749
ES2007c,112,0.9009009009009009
IS1003a,110,0.8848133848133849
ES2009c,108,0.8687258687258688
IS1004c,107,0.8606821106821106
TS3004d,105,0.8445945945945946
TS3005a,105,0.8445945945945946
IS1007b,104,0.8365508365508365
ES2011a,104,0.8365508365508365
TS3003d,103,0.8285070785070785
TS3003a,102,0.8204633204633204
ES2006a,102,0.8204633204633204
TS3010d,101,0.8124195624195625
TS3008b,97,0.7802445302445302
IS1003c,96,0.7722007722007722
ES2013c,94,0.7561132561132561
ES2005d,92,0.7400257400257401
IS1002d,91,0.7319819819819819
IS1000a,86,0.6917631917631918
ES2016c,85,0.6837194337194337
IS1005c,84,0.6756756756756757
ES2014a,83,0.6676319176319176
ES2009a,83,0.6676319176319176
ES2007d,83,0.6676319176319176
ES2005b,83,0.6676319176319176
IS1008d,83,0.6676319176319176
TS3011c,81,0.6515444015444015
IS1007c,80,0.6435006435006435
IS1001a,80,0.6435006435006435
TS3004a,80,0.6435006435006435
IS1003b,79,0.6354568854568855
ES2010d,79,0.6354568854568855
ES2015c,75,0.6032818532818532
TS3011b,72,0.5791505791505791
ES2002d,70,0.5630630630630631
IS1008c,66,0.5308880308880308
IS1000d,66,0.5308880308880308
IS1002c,65,0.5228442728442728
ES2003d,63,0.5067567567567568
ES2004d,62,0.4987129987129987
ES2014c,62,0.4987129987129987
IS1009d,61,0.4906692406692407
ES2012b,60,0.4826254826254826
ES2006b,60,0.4826254826254826
ES2007b,60,0.4826254826254826
IB4003,58,0.46653796653796653
ES2006c,58,0.46653796653796653
TS3010a,58,0.46653796653796653
IS1001d,57,0.4584942084942085
IS1007a,56,0.45045045045045046
IS1001c,56,0.45045045045045046
IS1005b,56,0.45045045045045046
IS1001b,56,0.45045045045045046
ES2012c,55,0.44240669240669245
ES2008c,54,0.4343629343629344
TS3012d,54,0.4343629343629344
ES2011b,54,0.4343629343629344
TS3007b,53,0.42631917631917626
TS3011a,53,0.42631917631917626
ES2004a,51,0.4102316602316602
IS1005a,51,0.4102316602316602
ES2002a,50,0.4021879021879022
ES2015b,50,0.4021879021879022
ES2012d,50,0.4021879021879022
ES2007a,48,0.3861003861003861
ES2013b,48,0.3861003861003861
TS3012a,47,0.37805662805662804
ES2016b,47,0.37805662805662804
TS3004c,47,0.37805662805662804
ES2016a,46,0.37001287001287003
TS3004b,45,0.36196911196911197
ES2014b,44,0.35392535392535396
IS1009a,44,0.35392535392535396
ES2002c,44,0.35392535392535396
TS3012c,38,0.3056628056628056
IS1009c,38,0.3056628056628056
IS1008b,38,0.3056628056628056
IS1000b,37,0.2976190476190476
IS1004b,37,0.2976190476190476
ES2008b,37,0.2976190476190476
ES2013a,36,0.28957528957528955
TS3010b,34,0.2734877734877735
ES2010b,33,0.2654440154440154
ES2008a,33,0.2654440154440154
ES2009b,32,0.2574002574002574
ES2010a,31,0.24935649935649934
ES2012a,29,0.23326898326898327
TS3003b,28,0.22522522522522523
ES2013d,28,0.22522522522522523
ES2010c,28,0.22522522522522523
TS3003c,26,0.20913770913770913
IS1004a,25,0.2010939510939511
TS3012b,24,0.19305019305019305
IS1009b,22,0.17696267696267698
ES2004c,22,0.17696267696267698
ES2003c,21,0.16891891891891891
ES2004b,19,0.1528314028314028
IS1000c,18,0.14478764478764478
ES2003a,15,0.12065637065637065
IS1008a,14,0.11261261261261261
ES2002b,14,0.11261261261261261
IS1002b,14,0.11261261261261261
ES2003b,8,0.06435006435006435
ES2005a,6,0.04826254826254826
