dialogue_act_gloss,count,percentage
Fragment,3880,68.09406809406809
Assess,465,8.16075816075816
Inform,438,7.686907686907688
Be-Positive,240,4.212004212004212
Backchannel,183,3.2116532116532115
Suggest,181,3.1765531765531763
Elicit-Inform,87,1.5268515268515268
Other,58,1.017901017901018
Comment-About-Understanding,46,0.8073008073008073
Elicit-Assessment,39,0.6844506844506845
Stall,32,0.5616005616005616
Offer,23,0.40365040365040367
Elicit-Offer-Or-Suggestion,15,0.26325026325026324
Be-Negative,7,0.12285012285012285
Elicit-Comment-Understanding,2,0.0351000351000351
