dialogue_act_gloss,count,percentage
Fragment,4949,66.1454156642609
Assess,669,8.941459502806737
Inform,599,8.005880780539963
Be-Positive,344,4.597701149425287
Suggest,242,3.234429296979417
Backchannel,230,3.074044373162256
Elicit-Inform,117,1.5637530072173216
Other,92,1.2296177492649023
Comment-About-Understanding,67,0.8954824913124833
Elicit-Assessment,59,0.7885592087677091
Stall,48,0.6415396952686447
Offer,34,0.45442395081529
Elicit-Offer-Or-Suggestion,19,0.2539427960438385
Be-Negative,9,0.12028869286287089
Elicit-Comment-Understanding,2,0.02673082063619353
