meeting_id,count,percentage
TS3007c,162,2.165196471531676
TS3006d,162,2.165196471531676
TS3007d,161,2.151831061213579
IS1003d,158,2.111734830259289
IS1006d,155,2.0716385993049986
TS3005d,146,1.9513499064421278
TS3009d,137,1.8310612135792568
TS3009c,136,1.81769580326116
TS3008c,129,1.7241379310344827
ES2006d,122,1.6305800588078054
ES2009d,117,1.5637530072173216
ES2015d,116,1.550387596899225
TS3011d,110,1.4701951349906441
ES2011d,109,1.4568297246725475
ES2011c,102,1.36327185244587
IS1006c,102,1.36327185244587
TS3008a,100,1.3365410318096766
TS3007a,99,1.3231756214915797
TS3005b,99,1.3231756214915797
IS1006a,96,1.2830793905372895
ES2015a,96,1.2830793905372895
ES2016d,94,1.256348569901096
TS3009a,89,1.189521518310612
ES2008d,88,1.1761561079925154
IS1006b,87,1.1627906976744187
IS1007d,84,1.1226944667201284
TS3010c,83,1.1093290564020315
ES2014d,80,1.0692328254477412
TS3006b,80,1.0692328254477412
ES2009c,80,1.0692328254477412
ES2006a,77,1.029136594493451
TS3005a,76,1.015771184175354
ES2007c,75,1.0024057738572574
TS3008d,73,0.9756749532210639
TS3009b,73,0.9756749532210639
TS3006c,73,0.9756749532210639
TS3005c,73,0.9756749532210639
IS1003a,71,0.9489441325848703
IS1004d,71,0.9489441325848703
TS3003a,70,0.9355787222667735
ES2005c,69,0.9222133119486768
TS3010d,67,0.8954824913124833
ES2005d,65,0.8687516706762898
IS1004c,64,0.855386260358193
TS3006a,62,0.8286554397219994
ES2014a,62,0.8286554397219994
TS3003d,62,0.8286554397219994
ES2005b,60,0.8019246190858059
IS1007b,59,0.7885592087677091
TS3004d,59,0.7885592087677091
TS3004a,58,0.7751937984496124
ES2016c,58,0.7751937984496124
ES2009a,58,0.7751937984496124
IS1005c,56,0.7484629778134189
ES2007d,55,0.7350975674953221
IS1008d,54,0.7217321571772253
ES2015c,54,0.7217321571772253
TS3011c,53,0.7083667468591286
IS1000a,51,0.681635926222935
ES2002d,50,0.6682705159048383
ES2010d,49,0.6549051055867415
ES2011a,49,0.6549051055867415
ES2012c,48,0.6415396952686447
IS1001a,48,0.6415396952686447
TS3008b,46,0.6148088746324512
IS1003c,46,0.6148088746324512
TS3010a,46,0.6148088746324512
ES2013c,46,0.6148088746324512
TS3011b,44,0.5880780539962577
IS1008c,42,0.5613472333600642
IS1002d,42,0.5613472333600642
IS1009d,40,0.5346164127238706
ES2004d,40,0.5346164127238706
ES2002a,39,0.5212510024057738
IB4003,38,0.507885592087677
ES2012b,38,0.507885592087677
ES2007b,37,0.49452018176958035
ES2003d,37,0.49452018176958035
TS3012a,37,0.49452018176958035
IS1005b,37,0.49452018176958035
IS1000d,37,0.49452018176958035
ES2015b,37,0.49452018176958035
TS3011a,37,0.49452018176958035
TS3007b,36,0.48115477145148355
ES2006c,35,0.46778936113338676
ES2006b,34,0.45442395081529
IS1003b,34,0.45442395081529
IS1007c,34,0.45442395081529
ES2014c,34,0.45442395081529
IS1007a,34,0.45442395081529
ES2016b,33,0.4410585404971933
IS1001b,33,0.4410585404971933
TS3012d,32,0.4276931301790965
TS3004c,31,0.4143277198609997
IS1005a,31,0.4143277198609997
IS1001d,31,0.4143277198609997
ES2007a,30,0.40096230954290296
IS1001c,29,0.3875968992248062
ES2008c,29,0.3875968992248062
TS3004b,29,0.3875968992248062
ES2009b,29,0.3875968992248062
IS1009a,29,0.3875968992248062
TS3012c,28,0.37423148890670943
ES2012d,28,0.37423148890670943
IS1002c,27,0.36086607858861264
ES2011b,26,0.3475006682705159
ES2014b,26,0.3475006682705159
IS1008b,26,0.3475006682705159
ES2004a,25,0.33413525795241916
IS1009c,25,0.33413525795241916
ES2008b,23,0.3074044373162256
ES2010a,22,0.29403902699812884
ES2013a,22,0.29403902699812884
ES2016a,21,0.2806736166800321
ES2013b,21,0.2806736166800321
ES2010b,21,0.2806736166800321
TS3010b,20,0.2673082063619353
ES2002c,20,0.2673082063619353
TS3003c,20,0.2673082063619353
ES2008a,19,0.2539427960438385
TS3003b,17,0.227211975407645
IS1004b,17,0.227211975407645
ES2013d,17,0.227211975407645
ES2010c,16,0.21384656508954825
ES2012a,15,0.20048115477145148
IS1000b,14,0.18711574445335472
ES2004c,13,0.17375033413525795
TS3012b,12,0.16038492381716118
IS1004a,12,0.16038492381716118
ES2003a,12,0.16038492381716118
IS1009b,11,0.14701951349906442
ES2003c,11,0.14701951349906442
ES2004b,10,0.13365410318096765
IS1002b,8,0.10692328254477412
IS1000c,8,0.10692328254477412
ES2002b,6,0.08019246190858059
IS1008a,4,0.05346164127238706
ES2003b,3,0.040096230954290296
ES2005a,2,0.02673082063619353
