dialogue_act_gloss,count,percentage
Fragment,5409,44.92524916943522
Assess,1732,14.385382059800664
Inform,1714,14.235880398671096
Be-Positive,824,6.843853820598006
Suggest,560,4.651162790697675
Backchannel,527,4.377076411960132
Stall,338,2.8073089700996676
Other,259,2.1511627906976747
Elicit-Inform,241,2.0016611295681064
Comment-About-Understanding,160,1.3289036544850499
Elicit-Assessment,120,0.9966777408637874
Offer,89,0.739202657807309
Elicit-Offer-Or-Suggestion,38,0.31561461794019935
Be-Negative,23,0.19102990033222592
Elicit-Comment-Understanding,3,0.02491694352159468
